Neighborhood,Date,Connections
Charlestown,05/10/2014 12:00:00 AM,18
Charlestown,05/11/2014 12:00:00 AM,16
Charlestown,05/12/2014 12:00:00 AM,30
Charlestown,05/13/2014 12:00:00 AM,21
Charlestown,05/14/2014 12:00:00 AM,20
Charlestown,05/15/2014 12:00:00 AM,26
Charlestown,05/16/2014 12:00:00 AM,31
Charlestown,05/17/2014 12:00:00 AM,20
Charlestown,05/18/2014 12:00:00 AM,23
Charlestown,05/19/2014 12:00:00 AM,27
Charlestown,05/20/2014 12:00:00 AM,30
Charlestown,05/21/2014 12:00:00 AM,40
Charlestown,05/22/2014 12:00:00 AM,22
Charlestown,05/23/2014 12:00:00 AM,19
Charlestown,05/24/2014 12:00:00 AM,20
Charlestown,05/25/2014 12:00:00 AM,16
Charlestown,05/26/2014 12:00:00 AM,11
Charlestown,05/27/2014 12:00:00 AM,21
Charlestown,05/28/2014 12:00:00 AM,19
Charlestown,05/29/2014 12:00:00 AM,22
Charlestown,05/30/2014 12:00:00 AM,31
Charlestown,05/31/2014 12:00:00 AM,22
Charlestown,06/01/2014 12:00:00 AM,25
Charlestown,06/02/2014 12:00:00 AM,34
Charlestown,06/03/2014 12:00:00 AM,37
Charlestown,06/04/2014 12:00:00 AM,17
Charlestown,06/05/2014 12:00:00 AM,24
Charlestown,06/06/2014 12:00:00 AM,33
Charlestown,06/07/2014 12:00:00 AM,26
Charlestown,06/08/2014 12:00:00 AM,27
Charlestown,06/09/2014 12:00:00 AM,39
Charlestown,06/10/2014 12:00:00 AM,40
Charlestown,06/11/2014 12:00:00 AM,40
Charlestown,06/12/2014 12:00:00 AM,32
Charlestown,06/13/2014 12:00:00 AM,37
Charlestown,06/14/2014 12:00:00 AM,33
Charlestown,06/15/2014 12:00:00 AM,34
Charlestown,06/16/2014 12:00:00 AM,47
Charlestown,06/17/2014 12:00:00 AM,30
Charlestown,06/18/2014 12:00:00 AM,43
Charlestown,06/19/2014 12:00:00 AM,41
Charlestown,06/20/2014 12:00:00 AM,35
Charlestown,06/21/2014 12:00:00 AM,20
Charlestown,06/22/2014 12:00:00 AM,26
Charlestown,06/23/2014 12:00:00 AM,41
Charlestown,06/24/2014 12:00:00 AM,37
Charlestown,06/25/2014 12:00:00 AM,30
Charlestown,06/26/2014 12:00:00 AM,32
Charlestown,06/27/2014 12:00:00 AM,26
Charlestown,06/28/2014 12:00:00 AM,20
Charlestown,06/29/2014 12:00:00 AM,17
Charlestown,06/30/2014 12:00:00 AM,34
Charlestown,07/01/2014 12:00:00 AM,31
Charlestown,07/02/2014 12:00:00 AM,42
Charlestown,07/03/2014 12:00:00 AM,25
Charlestown,07/04/2014 12:00:00 AM,10
Charlestown,07/05/2014 12:00:00 AM,14
Charlestown,07/06/2014 12:00:00 AM,22
Charlestown,07/07/2014 12:00:00 AM,30
Charlestown,07/08/2014 12:00:00 AM,32
Charlestown,07/09/2014 12:00:00 AM,38
Charlestown,07/10/2014 12:00:00 AM,30
Charlestown,07/11/2014 12:00:00 AM,35
Charlestown,07/12/2014 12:00:00 AM,29
Charlestown,07/13/2014 12:00:00 AM,20
Charlestown,07/14/2014 12:00:00 AM,28
Charlestown,07/15/2014 12:00:00 AM,34
Charlestown,07/16/2014 12:00:00 AM,29
Charlestown,07/17/2014 12:00:00 AM,39
Charlestown,07/18/2014 12:00:00 AM,25
